month,Echinostoma,length,trem
191107,0,7,0
191107,3,9.5,0
191107,0,10,0
191107,3,10,0
191107,0,10,0
191107,0,12,0
191107,0,11,1
191107,4,10,0
191107,0,11,0
191107,1,12,0
191107,0,9.5,0
191107,0,10,1
191107,8,9.5,1
191107,0,11.5,0
191107,0,9.5,0
191107,0,12,0
191107,2,10,1
191107,4,14.5,0
191107,1,10,0
191107,2,10,1
191107,2,9,0
191107,0,12,1
191107,5,11.5,0
191107,0,10,0
191107,1,10.5,0
191107,4,10,0
191202,3,10,1
191202,2,10,0
191202,0,10,0
191202,1,10,0
191202,1,11,0
191202,0,9,1
191202,0,11,0
191202,2,10.5,0
191202,7,10,1
191202,0,10,0
191202,3,12,0
191202,11,9.5,1
191202,2,11,0
191202,4,11,0
191202,1,11,0
191202,0,10,0
191202,0,9.5,0
191202,0,11,0
191202,5,10,0
191202,0,10.5,0
191202,16,10,0
191202,0,10,0
191202,2,12,0
191202,3,11.5,0
191202,0,9,0
191202,2,12,0
191202,0,7,0
191202,0,9.5,0
191202,0,9,0
191202,17,10,0
200120,1,9,0
200120,6,10,0
200120,3,9.5,0
200120,3,11,0
200120,0,8,0
200120,4,10,0
200120,6,9.5,0
200120,10,11,0
200120,4,8,0
200120,1,10,0
200120,4,10,0
200120,0,6.5,0
200120,23,10.5,0
200120,2,9.5,0
200120,2,10,1
200120,2,7.5,0
200120,3,11,0
200120,1,10.5,0
200120,3,10.5,0
200120,0,10,0
200120,24,12,0
200120,2,7.5,0
200120,18,9,0
200120,1,9,0
200120,3,10.5,0
200120,0,10,0
200120,1,10,0
200120,0,11,0
200120,2,9.5,0
200120,5,10.5,0
200224,1,8,0
200224,1,10,1
200224,1,7,0
200224,1,10,0
200224,1,9.5,0
200224,0,8,0
200224,5,9,0
200224,1,10,0
200224,0,9,0
200224,29,11,0
200224,5,9,0
200224,3,9.5,0
200224,2,9.5,0
200224,0,10.5,0
200224,0,10,0
200224,0,11,1
200224,0,10,0
200224,7,11,0
200224,4,11.5,0
200224,19,11,0
200224,9,11,0
200224,2,9,0
200224,0,9,0
200224,0,9,0
200224,6,10.5,0
200224,3,11,0
200224,2,9,0
200224,3,10,0
200224,5,9.5,0
200224,0,8.5,0
