month,Echinoparyphium ,Echinostoma,lnparyph,lnstoma,length,trem
190507,0,0,0,0,8.5,0
190507,0,0,0,0,8,0
190507,0,0,0,0,10,0
190507,0,0,0,0,11,0
190507,0,2,0,1.098612289,6.5,1
190507,0,0,0,0,9.5,0
190507,0,1,0,0.693147181,9,0
190507,0,0,0,0,10,1
190507,0,0,0,0,8,0
190507,0,0,0,0,8,0
190507,0,0,0,0,9,0
190507,0,0,0,0,7.5,1
190507,0,0,0,0,9,0
190507,0,0,0,0,8,0
190507,0,0,0,0,8,0
190507,0,0,0,0,7.5,0
190507,0,0,0,0,7.5,0
190507,0,0,0,0,9,0
190507,0,1,0,0.693147181,8.5,0
190507,0,0,0,0,6,1
190507,0,1,0,0.693147181,7,1
190507,0,0,0,0,8,1
190604,0,0,0,0,9.5,0
190604,0,0,0,0,9,0
190604,0,0,0,0,12,0
190604,0,0,0,0,8,0
190604,0,0,0,0,9,0
190604,0,0,0,0,8.5,0
190604,0,1,0,0.693147181,11,0
190604,0,0,0,0,9,0
190604,0,0,0,0,10.5,0
190604,0,0,0,0,9.5,0
190604,0,2,0,1.098612289,10.5,1
190604,0,0,0,0,8.5,0
190604,0,0,0,0,11,0
190604,0,0,0,0,9.5,0
190604,0,0,0,0,12,0
190604,0,0,0,0,9.5,0
190604,11,5,2.48490665,1.791759469,9,1
190604,0,2,0,1.098612289,10,0
190604,0,0,0,0,5,0
190604,0,3,0,1.386294361,10,0
190604,0,0,0,0,9,0
190604,0,0,0,0,12.5,0
190604,0,0,0,0,8.5,0
190604,0,0,0,0,9,0
190604,10,4,2.397895273,1.609437912,6,1
190604,0,0,0,0,9.5,0
190604,0,1,0,0.693147181,9,0
190604,0,0,0,0,7.5,1
190604,1,0,0.693147181,0,8,1
190604,0,0,0,0,9.5,1
190625,0,1,0,0.693147181,10,0
190625,0,1,0,0.693147181,11,0
190625,0,9,0,2.302585093,11.5,0
190625,0,2,0,1.098612289,9,0
190625,0,0,0,0,11,0
190625,0,0,0,0,10,0
190625,0,8,0,2.197224577,9.5,0
190625,0,0,0,0,11,0
190625,0,0,0,0,9,0
190625,0,12,0,2.564949357,9.5,0
190625,0,7,0,2.079441542,10,1
190625,0,0,0,0,10,0
190625,0,5,0,1.791759469,11,0
190625,0,0,0,0,9,0
190625,0,10,0,2.397895273,11,0
190625,0,0,0,0,9,0
190625,0,4,0,1.609437912,10,0
190625,0,1,0,0.693147181,10,0
190625,0,26,0,3.295836866,12,0
190625,0,5,0,1.791759469,10,0
190625,0,10,0,2.397895273,11,0
190625,0,0,0,0,10,0
190625,0,4,0,1.609437912,10,1
190625,2,7,1.098612289,2.079441542,10,0
190625,0,0,0,0,10,0
190625,0,50,0,3.931825633,12,0
190625,0,1,0,0.693147181,8,1
190625,0,2,0,1.098612289,9,0
190625,0,0,0,0,9,0
190625,10,3,2.397895273,1.386294361,8,1
190812,0,4,0,1.609437912,10,0
190812,0,7,0,2.079441542,10.5,1
190812,0,12,0,2.564949357,9.5,0
190812,0,8,0,2.197224577,10,0
190812,0,17,0,2.890371758,9,0
190812,0,12,0,2.564949357,10,0
190812,0,14,0,2.708050201,10.5,0
190812,0,2,0,1.098612289,10,0
190812,0,5,0,1.791759469,10,0
190812,0,8,0,2.197224577,11,0
190812,0,29,0,3.401197382,10.5,1
190812,0,8,0,2.197224577,9.5,0
190812,0,15,0,2.772588722,9.5,0
190812,0,12,0,2.564949357,10.5,0
190812,0,11,0,2.48490665,9,0
190812,0,0,0,0,11,1
190812,0,5,0,1.791759469,12.5,0
190812,0,3,0,1.386294361,10.5,0
190812,0,2,0,1.098612289,10.5,0
190812,0,3,0,1.386294361,9.5,0
190812,0,5,0,1.791759469,10,1
190812,0,0,0,0,11,1
190812,0,12,0,2.564949357,10,0
190812,21,5,3.091042453,1.791759469,10.5,0
190812,0,14,0,2.708050201,11,0
190812,5,3,1.791759469,1.386294361,9,1
190812,1,1,0.693147181,0.693147181,12,0
190812,0,8,0,2.197224577,9.5,0
190812,0,0,0,0,9.5,1
190812,0,2,0,1.098612289,10,0
190905,0,4,0,1.609437912,11.5,0
190905,0,0,0,0,9,0
190905,0,5,0,1.791759469,10.5,0
190905,0,0,0,0,6,0
190905,0,2,0,1.098612289,10,1
190905,0,14,0,2.708050201,12,0
190905,0,5,0,1.791759469,10,1
190905,0,3,0,1.386294361,10.5,0
190905,0,0,0,0,12.5,0
190905,0,2,0,1.098612289,10,0
190905,0,0,0,0,11,0
190905,0,3,0,1.386294361,11,1
190905,0,2,0,1.098612289,10,0
190905,0,2,0,1.098612289,11,0
190905,0,1,0,0.693147181,9.5,0
190905,0,4,0,1.609437912,11,0
190905,0,1,0,0.693147181,9,0
190905,0,0,0,0,11,0
190905,0,1,0,0.693147181,10,0
190905,0,5,0,1.791759469,10.5,0
190905,0,4,0,1.609437912,10,0
190905,0,1,0,0.693147181,10.5,1
190905,13,1,2.63905733,0.693147181,9,1
190905,0,3,0,1.386294361,11,0
190905,0,5,0,1.791759469,9.5,0
190905,0,2,0,1.098612289,10,0
190905,0,0,0,0,9,0
190905,0,2,0,1.098612289,9.5,1
190905,0,1,0,0.693147181,10.5,0
190905,0,3,0,1.386294361,10,0
191002,0,2,0,1.098612289,12,0
191002,7,0,2.079441542,0,8,1
191002,0,9,0,2.302585093,10,0
191002,0,0,0,0,9.5,0
191002,0,0,0,0,7,0
191002,2,1,1.098612289,0.693147181,9.5,1
191002,0,0,0,0,10,1
191002,0,9,0,2.302585093,10,0
191002,0,10,0,2.397895273,10,0
191002,0,5,0,1.791759469,9.5,0
191002,0,5,0,1.791759469,12,0
191002,2,0,1.098612289,0,6.5,1
191002,0,4,0,1.609437912,10,0
191002,0,0,0,0,10,0
191002,1,0,0.693147181,0,10.5,1
191002,0,1,0,0.693147181,11.5,0
191002,0,0,0,0,14.5,0
191002,0,4,0,1.609437912,10,1
191002,0,0,0,0,9.5,0
191002,2,0,1.098612289,0,10,1
191002,0,1,0,0.693147181,10.5,0
191002,0,1,0,0.693147181,11,0
191002,1,2,0.693147181,1.098612289,10.5,1
191002,0,4,0,1.609437912,10.5,0
191002,0,4,0,1.609437912,10,1
191002,0,1,0,0.693147181,7.5,0
191002,0,4,0,1.609437912,11,0
191002,0,0,0,0,9.5,1
191002,42,1,3.761200116,0.693147181,9.5,1
191002,0,1,0,0.693147181,10,0
191107,0,0,0,0,8,0
191107,0,7,0,2.079441542,9,0
191107,0,0,0,0,9.5,0
191107,0,9,0,2.302585093,10.5,0
191107,0,0,0,0,7,0
191107,0,3,0,1.386294361,9.5,0
191107,0,0,0,0,10,0
191107,0,3,0,1.386294361,10,0
191107,0,0,0,0,10,0
191107,0,0,0,0,12,0
191107,0,0,0,0,11,1
191107,0,4,0,1.609437912,10,0
191107,0,0,0,0,11,0
191107,0,1,0,0.693147181,12,0
191107,0,0,0,0,9.5,0
191107,4,0,1.609437912,0,10,1
191107,57,8,4.060443011,2.197224577,9.5,1
191107,0,0,0,0,11.5,0
191107,0,0,0,0,9.5,0
191107,0,0,0,0,12,0
191107,6,2,1.945910149,1.098612289,10,1
191107,0,4,0,1.609437912,14.5,0
191107,0,1,0,0.693147181,10,0
191107,12,2,2.564949357,1.098612289,10,1
191107,0,2,0,1.098612289,9,0
191107,0,0,0,0,12,1
191107,0,5,0,1.791759469,11.5,0
191107,0,0,0,0,10,0
191107,0,1,0,0.693147181,10.5,0
191107,0,4,0,1.609437912,10,0
191202,10,3,2.397895273,1.386294361,10,1
191202,0,2,0,1.098612289,10,0
191202,0,0,0,0,10,0
191202,0,1,0,0.693147181,10,0
191202,0,1,0,0.693147181,11,0
191202,2,0,1.098612289,0,9,1
191202,0,0,0,0,11,0
191202,0,2,0,1.098612289,10.5,0
191202,13,7,2.63905733,2.079441542,10,1
191202,0,0,0,0,10,0
191202,0,3,0,1.386294361,12,0
191202,9,11,2.302585093,2.48490665,9.5,1
191202,0,2,0,1.098612289,11,0
191202,0,4,0,1.609437912,11,0
191202,0,1,0,0.693147181,11,0
191202,0,0,0,0,10,0
191202,0,0,0,0,9.5,0
191202,0,0,0,0,11,0
191202,0,5,0,1.791759469,10,0
191202,0,0,0,0,10.5,0
191202,0,16,0,2.833213344,10,0
191202,0,0,0,0,10,0
191202,0,2,0,1.098612289,12,0
191202,0,3,0,1.386294361,11.5,0
191202,0,0,0,0,9,0
191202,0,2,0,1.098612289,12,0
191202,0,0,0,0,7,0
191202,0,0,0,0,9.5,0
191202,0,0,0,0,9,0
191202,0,17,0,2.890371758,10,0
200120,0,1,0,0.693147181,9,0
200120,0,6,0,1.945910149,10,0
200120,0,3,0,1.386294361,9.5,0
200120,0,3,0,1.386294361,11,0
200120,0,0,0,0,8,0
200120,0,4,0,1.609437912,10,0
200120,0,6,0,1.945910149,9.5,0
200120,0,10,0,2.397895273,11,0
200120,0,4,0,1.609437912,8,0
200120,0,1,0,0.693147181,10,0
200120,0,4,0,1.609437912,10,0
200120,0,0,0,0,6.5,0
200120,0,23,0,3.17805383,10.5,0
200120,0,2,0,1.098612289,9.5,0
200120,7,2,2.079441542,1.098612289,10,1
200120,0,2,0,1.098612289,7.5,0
200120,0,3,0,1.386294361,11,0
200120,0,1,0,0.693147181,10.5,0
200120,0,3,0,1.386294361,10.5,0
200120,0,0,0,0,10,0
200120,0,24,0,3.218875825,12,0
200120,0,2,0,1.098612289,7.5,0
200120,0,18,0,2.944438979,9,0
200120,0,1,0,0.693147181,9,0
200120,0,3,0,1.386294361,10.5,0
200120,0,0,0,0,10,0
200120,0,1,0,0.693147181,10,0
200120,0,0,0,0,11,0
200120,0,2,0,1.098612289,9.5,0
200120,0,5,0,1.791759469,10.5,0
200224,0,1,0,0.693147181,8,0
200224,33,1,3.526360525,0.693147181,10,1
200224,0,1,0,0.693147181,7,0
200224,0,1,0,0.693147181,10,0
200224,0,1,0,0.693147181,9.5,0
200224,0,0,0,0,8,0
200224,0,5,0,1.791759469,9,0
200224,0,1,0,0.693147181,10,0
200224,0,0,0,0,9,0
200224,0,29,0,3.401197382,11,0
200224,0,5,0,1.791759469,9,0
200224,0,3,0,1.386294361,9.5,0
200224,0,2,0,1.098612289,9.5,0
200224,0,0,0,0,10.5,0
200224,0,0,0,0,10,0
200224,4,0,1.609437912,0,11,1
200224,0,0,0,0,10,0
200224,0,7,0,2.079441542,11,0
200224,0,4,0,1.609437912,11.5,0
200224,0,19,0,2.995732274,11,0
200224,0,9,0,2.302585093,11,0
200224,0,2,0,1.098612289,9,0
200224,0,0,0,0,9,0
200224,0,0,0,0,9,0
200224,0,6,0,1.945910149,10.5,0
200224,0,3,0,1.386294361,11,0
200224,0,2,0,1.098612289,9,0
200224,0,3,0,1.386294361,10,0
200224,0,5,0,1.791759469,9.5,0
200224,0,0,0,0,8.5,0
